filename,text,age,gender,accent
sample-084720.png,i had seen all that it would presently bring me,twenties,other,england
sample-169346.png,a friend had told the boy about the shop and he had taken his sheep there,twenties,male,england
sample-027740.png,the boy said nothing,twenties,male,indian
sample-035454.png,what is the matter,twenties,male,us
sample-134062.png,no baselines or comparison to state of the art is provided,twenties,female,australia
sample-100237.png,none of what the old man was saying made much sense to the boy,twenties,male,us
sample-099632.png,i used to live near el cairum he said,twenties,male,us
sample-005189.png,the shop folks were taking down their shutters and people were opening their bedroom windows,twenties,male,us
sample-182021.png,he got up early with the idea of finding it,twenties,male,us
sample-083446.png,the boy was embarrassed and confessed that he had observed nothing,twenties,female,us
sample-032205.png,its been a long time since she last read chekhov and because of that she no longer feels like the heroine of her own story,twenties,male,us
sample-022381.png,it's just like any other day as far as i'm concerned,twenties,female,indian
sample-187671.png,i just don't trust anyone who says they've never had hamburger helper,twenties,male,us
sample-029947.png,it brought his heart into his mouth,twenties,female,us
sample-170408.png,do i knock or something,twenties,male,england
sample-063448.png,it seems old and wise,twenties,male,canada
sample-182974.png,some storms are worth the wreckage,twenties,male,us
sample-132095.png,i hate sneakers but i am liking these shoes,twenties,male,us
sample-052065.png,we were all made by the same hand and we have the same soul,twenties,male,us
sample-154387.png,my dear regina i hope you are enjoying your holiday,twenties,male,newzealand
sample-040970.png,it's the master work of the alchemists,twenties,male,us
sample-103011.png,a sight for sore eyes,twenties,male,indian
sample-094038.png,the old man was probably a gypsy too,twenties,male,indian
sample-097978.png,as he did so he talked with the monk about the tribal wars,twenties,male,indian
sample-110133.png,you've never been born,twenties,male,indian
sample-189912.png,he had surprised himself with the thought,twenties,male,african
sample-003924.png,how strange africa is thought the boy,twenties,male,indian
sample-002917.png,has aunt stephanie come in yet,twenties,female,us
sample-128808.png,one of the oldest trees in lincoln,twenties,female,canada
sample-058104.png,an huge hole had been made by the impact of the projectile,twenties,male,us
sample-093078.png,the two men hurried back and found the cylinder still lying in the same position,twenties,male,us
sample-193129.png,should i understand the emerald tablet the boy asked,twenties,male,us
sample-181946.png,i didn't want the publicity,twenties,male,us
sample-110874.png,and above all don't forget to follow your destiny through to its conclusion,twenties,male,england
sample-015599.png,i guess you're right,twenties,male,england
sample-097608.png,he wasn't asking for help,twenties,male,us
sample-007716.png,it has happened many times before,twenties,male,indian
sample-039213.png,you can't take that desk out,twenties,male,us
sample-154796.png,the file he copied ended up in the trash can,twenties,male,england
sample-170349.png,you can send somebody with me if you don't believe me,twenties,male,us
sample-043074.png,but i found it difficult to get to work because of the investigations,twenties,male,indian
sample-170669.png,what is the matter,twenties,female,us
sample-061422.png,and what do you do in salem he insisted,twenties,male,us
sample-094850.png,then like a colony of worker ants they dismantled their stalls and left,twenties,male,us
sample-133765.png,in spite of this i still believed that there were men in mars,twenties,male,australia
sample-185425.png,i need you to be spontaneous he asked me out to din din,twenties,male,us
sample-003230.png,from then on he would make his own decisions,twenties,male,indian
sample-031671.png,i didn't have time to get some stylish underwear,twenties,male,indian
sample-045246.png,there were lights in the upper windows of the houses when the people went to bed,twenties,female,england
sample-066902.png,but in his heart he knew that it did matter,twenties,male,us
sample-183779.png,now i will drift gently off to dreamland,twenties,female,us
sample-088533.png,you point to a trail of ants leading into the house,twenties,male,us
sample-125309.png,that's the philosopher's stone and the elixir of life,twenties,male,indian
sample-030894.png,we've done it said the englishman who had also awakened early,twenties,male,african
sample-102149.png,at other times at a crucial moment i make it easier for things to happen,twenties,male,indian
sample-084945.png,many people in berkshire surrey and middlesex must have seen it,twenties,male,wales
sample-158324.png,you couldn't get a bigger bed in here though,twenties,male,scotland
sample-165429.png,of course it is,twenties,male,indian
sample-192525.png,in the past i've had trouble prioritizing stuff in this list,twenties,male,us
sample-123694.png,mecca is a lot farther away than the pyramids,twenties,male,us
sample-172478.png,margarine is just butter with an inferiority complex,twenties,male,newzealand
sample-085051.png,everything in the universe evolved he said,twenties,male,scotland
sample-168247.png,the mixture took on a reddish color almost the color of blood,twenties,female,us
sample-105881.png,revenge is not my style but obviously accidents will happen,twenties,other,us
sample-105086.png,the alchemist told the boy to place the shell over his ear,twenties,male,african
sample-181467.png,it seemed to him that it fell to earth about one hundred miles east of here,twenties,female,england
sample-092765.png,i was the one up there doing the farting,twenties,male,us
sample-038148.png,i can learn something from the desert too,twenties,female,us
sample-028986.png,then came the night of the first falling star,twenties,male,us
sample-184217.png,words can hurt very much,twenties,male,us
sample-160890.png,he approached the mass and was surprised at the size and the shape,twenties,female,us
sample-014060.png,henderson stood up with a spade in his hand,twenties,male,wales
sample-120684.png,i haven't any hard feelings,twenties,male,us
sample-086379.png,the whole office was struck by a deafening silence,twenties,male,us
sample-136070.png,this solution also works well if you want to install a linux distro on windows via virtualization,twenties,male,canada
sample-095133.png,it was starlight and i explained the signs of the zodiac to her,twenties,male,england
sample-064908.png,her jeans have holes in them,twenties,male,us
sample-147956.png,if i could i'd write a huge encyclopedia just about the words luck and coincidence,twenties,other,england
sample-136430.png,well then we've got a problem,twenties,male,us
sample-028805.png,the miner had abandoned everything to go mining for emeralds,twenties,female,us
sample-104982.png,have liv call me in the restaurant in twenty minutes,twenties,male,us
sample-134624.png,but you were a little girl,twenties,male,indian
sample-133110.png,don't say anything fatima interrupted,twenties,male,us
sample-155472.png,they had gone away to breakfast at henderson's house,twenties,male,england
sample-182840.png,the thing itself was almost entirely buried in sand,twenties,female,australia
sample-044924.png,we're a couple of financial wizards,twenties,male,us
sample-132944.png,the stranger was speaking of things that very few people knew about,twenties,male,indian
sample-140014.png,at the first glance it was really not very exciting,twenties,male,england
sample-113978.png,never advertise razors by shaving a monkey it's cruel and results in lawsuits,twenties,male,us
sample-001429.png,so his heart was quiet for an entire afternoon,twenties,male,us
sample-184005.png,certainly i'm sure i'm comfortable,twenties,male,us
sample-112328.png,coming home a party of tourists passed us singing and playing music,twenties,male,us
sample-103324.png,the boy said nothing,twenties,male,us
sample-133329.png,and don't pull that on me neither,twenties,male,us
sample-162677.png,that's why i keep losing,twenties,male,us
sample-068346.png,it's up to you,twenties,male,us
sample-170850.png,says for us to go the limit,twenties,male,us
sample-178753.png,its time said his father and he was right,twenties,female,us
sample-062341.png,there's one that says 'everything that happens once can never happen again,twenties,male,us
sample-050215.png,it was a pleasant change from talking to his sheep,twenties,male,us
sample-075875.png,the other son was a poet and delighted all of rome with his beautiful verses,twenties,male,us
sample-143292.png,why don't you try johns hopkins in baltimore,twenties,male,indian
sample-113937.png,nobody knows where she got it,twenties,male,us
sample-000776.png,the tribal chieftains will appreciate what you do,twenties,male,england
sample-070448.png,keep your shirt on,twenties,male,us
sample-180153.png,there was a rough patch of skin,twenties,male,england
sample-039707.png,but you don't know about love,twenties,female,canada
sample-090806.png,the boy promised himself that when he returned from egypt he would buy that sword,twenties,male,england
sample-141781.png,must have been that jump in the cold water,twenties,female,us
sample-066274.png,please don't cry,twenties,female,us
sample-184866.png,you ought to know that,twenties,male,us
sample-164528.png,so the wind blew with all its strength and the sky was filled with sand,twenties,male,canada
sample-130806.png,as soon as he saw me among the crowd he called to me to come down,twenties,female,us
sample-093071.png,bakers have homes while shepherds sleep out in the open,twenties,male,england
sample-120307.png,the horse reared again raising a cloud of dust,twenties,male,canada
sample-060539.png,i need ten dollars,twenties,male,us
sample-062318.png,the money's not here,twenties,male,us
sample-131699.png,some of those who saw its flight say it travelled with a hissing sound,twenties,female,canada
sample-078026.png,all they wanted was food and water,twenties,male,australia
sample-153885.png,i'm the leader of the caravan said a darkeyed bearded man,twenties,female,england
sample-158417.png,don't give in to your fears said the alchemist in a strangely gentle voice,twenties,male,us
sample-116348.png,you've got to do something,twenties,male,scotland
sample-035344.png,they set off running wildly into the trees,twenties,male,indian
sample-142240.png,do you know what cia stands for,twenties,male,us
sample-087111.png,he walked slowly through the market,twenties,female,us
sample-141412.png,'everyone loved them and enjoyed them,twenties,male,us
sample-181909.png,you're looking for witch doctors he spoke some verses from the koran and moved on,twenties,male,hongkong
sample-168918.png,he appeared with the first stars of evening,twenties,male,us
sample-101043.png,he did find it soon after dawn and not far from the sand pits,twenties,female,canada
sample-103452.png,from the railway station in the distance came the sound of trains ringing and rumbling,twenties,male,australia
sample-129729.png,i'm never more aware of a room's acoustics than when i'm trying to enjoy a snack i have no intention of sharing,twenties,male,us
sample-132514.png,it's extremely suspicious that there's no information about brains that didn't come from a brain,twenties,male,us
sample-136885.png,the serpent relaxed immediately,twenties,male,us
sample-023731.png,we need to be confident all of us,twenties,male,us
sample-122756.png,death doesn't change anything the boy thought,twenties,male,england
sample-023113.png,looking up he saw a pair of hawks flying high in the sky,twenties,male,indian
sample-148548.png,access denied,twenties,male,indian
sample-048288.png,i thought about the difficulties in translation that might arise,twenties,male,us
sample-182506.png,don't forget that everything you deal with is only one thing and nothing else,twenties,male,african
sample-068383.png,he had never imagined that questions about life would be of such importance to a shepherd,twenties,female,us
sample-039909.png,he seemed unfriendly and had looked irritated when the boy had entered,twenties,female,indian
sample-157661.png,he became friendly with the camel driver who traveled alongside him,twenties,female,us
sample-058199.png,just leave your card with the boy,twenties,male,us
sample-138159.png,i think the firefox extension already does this and i created one for chrome tab namer,twenties,male,england
sample-089261.png,well he thought about that the old man said,twenties,male,indian
sample-136783.png,you should see the other guy specifically how good at fighting he is,twenties,male,us
sample-041852.png,who'd you say it was,twenties,male,us
sample-031734.png,he still had some doubts about the decision he had made,twenties,male,indian
sample-075300.png,thank you very much for everything,twenties,male,canada
sample-123363.png,he was thinking about omens and someone had appeared,twenties,male,us
sample-115102.png,the boy noticed that the man's clothing was strange,twenties,male,us
sample-014370.png,i'll let you know as soon as i have something,twenties,male,us
sample-007101.png,i've already had that experience with my sheep and now it's happening with people,twenties,male,england
sample-012926.png,i didn't know whose it was,twenties,male,us
sample-138784.png,something inside the cylinder was unscrewing the top,twenties,male,canada
sample-096037.png,where was his horse,twenties,male,canada
sample-064600.png,that damn mouse could sense my anger,twenties,male,us
sample-012329.png,the end of the cylinder was still as ogilvy and henderson had left it,twenties,male,us
sample-133123.png,the only shadow was that of the few scattered pine trees,twenties,male,african
sample-167815.png,the letter said that the payment was delayed,twenties,male,england
sample-163732.png,the old man returned the book to the boy,twenties,female,us
sample-127480.png,they walked together through the narrow streets of tangier,twenties,male,england
sample-189766.png,my freezer contains enough for a banquet,twenties,male,us
sample-032969.png,she refilled her vessel and left,twenties,female,us
sample-094638.png,or a man into the wind,twenties,male,us
sample-051944.png,my agreement with you gentlemen stands,twenties,female,indian
sample-018649.png,i didn't want the publicity,twenties,male,us
sample-144061.png,a thin circle of bright metal showed between the top and the body of the cylinder,twenties,male,us
sample-079737.png,don't worry about him he'll be fine,twenties,male,us
sample-026534.png,there's a caravan leaving today for alfayoum,twenties,male,us
sample-149526.png,i came over with johnny,twenties,male,us
sample-137272.png,get the governor on the phone,twenties,male,us
sample-133958.png,sounds legitimate,twenties,male,australia
sample-155446.png,i wonder what's keeping mother,twenties,female,us
sample-163933.png,the streamer of gas came out towards us,twenties,male,us
sample-047973.png,they looked for the fallen mass but found nothing,twenties,male,us
sample-140446.png,i got doctor bills to pay,twenties,male,us
sample-179022.png,dense clouds of smoke or dust can be seen through a powerful telescope,twenties,male,us
sample-121088.png,and what do you do in salem he insisted,twenties,male,us
sample-043160.png,the two men hurried back and found the cylinder still lying in the same position,twenties,male,us
sample-013018.png,so then try he said to the englishman,twenties,male,indian
sample-173900.png,he didn't want to cry with the other people there,twenties,male,us
sample-033840.png,when you are in love things make even more sense he thought,twenties,male,us
sample-045299.png,that doesn't happen to just anyone,twenties,male,indian
sample-083154.png,dense clouds of smoke or dust can be seen through a powerful telescope,twenties,female,canada
sample-114521.png,but they really don't know what they're saying,twenties,female,us
sample-165244.png,so how will we name all these hurricanes,twenties,other,england
sample-186376.png,the streamer of gas came out towards us,twenties,male,us
sample-188782.png,the boy thought about the crystal merchant,twenties,male,us
sample-102839.png,the boy and the englishman had bought camels and climbed uncertainly onto their backs,twenties,female,england
sample-090026.png,i heard a faint movement under my feet,twenties,male,australia
sample-003161.png,come on in the office here,twenties,female,england
sample-120562.png,do you know him,twenties,female,us
sample-096440.png,i'm going to guide you across the desert the alchemist said,twenties,male,england
sample-099277.png,we've done it said the englishman who had also awakened early,twenties,male,us
sample-142875.png,shakespeare never said that,twenties,male,us
sample-053264.png,what boat you sailing on,twenties,male,indian
sample-192120.png,dense clouds of smoke or dust can be seen through a powerful telescope,twenties,female,bermuda
sample-039503.png,the martinis cross themselves,twenties,male,us
sample-109403.png,a ghostly figure appeared,twenties,male,us
sample-129525.png,are you really fred's brother,twenties,male,england
sample-145909.png,i didn't say anything,twenties,male,us
sample-079906.png,the boy was shaking with fear but the alchemist helped him out of the tent,twenties,female,philippines
sample-029589.png,the night was warm and i was thirsty,twenties,male,us
sample-010759.png,you'll wreck your raincoat,twenties,male,us
sample-150175.png,a long note was sounded on a bugle and everyone mounted up,twenties,female,us
sample-131302.png,i thought the unscrewing might be automatic,twenties,male,canada
sample-071226.png,sorry to keep you waiting,twenties,male,us
sample-177130.png,that can't be true,twenties,male,canada
sample-010826.png,i knew if i were drowning you'd try to save me,twenties,male,scotland
sample-105426.png,they were men of the desert and they were fearful of sorcerers,twenties,male,australia
sample-027830.png,he sat on a stone and allowed himself to become hypnotized by the horizon,twenties,other,ireland
sample-131941.png,besides that there was a heap of bicycles,twenties,other,us
sample-079888.png,the englishman vanished too gone to find the alchemist,twenties,male,us
sample-048270.png,i'll be back the boy said,twenties,male,indian
sample-014276.png,how'd you get in here,twenties,male,us
sample-031067.png,as he was leaving he saw in the corner of the room his old shepherd's pouch,twenties,male,england
sample-040402.png,you killed all three of them for nothing,twenties,male,us
sample-032453.png,i should have repeated it for him,twenties,male,wales
sample-139174.png,because life wants you to achieve your destiny,twenties,male,us
sample-063102.png,he had seen kings and beggars walking the desert sands,twenties,male,canada
sample-186824.png,she as a member of the king's holy knights had sworn an oath,twenties,male,us
sample-047911.png,one afternoon they passed by the encampment of one of the tribes,twenties,male,us
sample-030231.png,don't be impatient he repeated to himself,twenties,female,us
sample-124614.png,its lower end was still embedded,twenties,male,us
sample-075436.png,he was more certain of it than of anything in the world,twenties,male,indian
sample-033929.png,wait a minute,twenties,male,indian
sample-184869.png,we felt that something was following us through the woods,twenties,female,us
sample-120694.png,i dont mind working from home most of the time but i do miss having coworkers,twenties,male,us
sample-107665.png,scattered groups of people were hurrying from the direction of woking,twenties,male,us
sample-173788.png,it was glaringly hot not a cloud in the sky nor a breath of wind,twenties,male,england
sample-123046.png,well i'd like to see their land and see how they live said his son,twenties,male,us
sample-050247.png,the sinner had wrinkled hands,twenties,male,indian
sample-090013.png,i should have been there,twenties,male,canada
sample-147148.png,dense clouds of smoke or dust can be seen through a powerful telescope,twenties,other,england
sample-088519.png,i still find the article to be unnecessarily obscure,twenties,male,us
sample-082441.png,throughout the night the boy dug at the place he had chosen but found nothing,twenties,female,us
sample-181540.png,then he turned to the boy this time his expression was cold and distant,twenties,male,us
sample-161648.png,i shall make us some ice cubes,twenties,male,us
sample-093344.png,to show you one of life's simple lessons the alchemist answered,twenties,male,african
sample-085284.png,they were men of the desert and they were fearful of sorcerers,twenties,male,australia
sample-004466.png,today i understand something i didn't see before every blessing ignored becomes a curse,twenties,male,us
sample-114803.png,this is what was written on the emerald tablet said the alchemist when he had finished,twenties,male,england
sample-010671.png,somehow the purple colour faded to gray,twenties,male,us
sample-072838.png,i'm going to count three,twenties,male,us
sample-163304.png,there was a fluctuation in the water pressure that fed the whale tank,twenties,male,us
sample-126736.png,paper cups are bad for the environment if you throw them in the garbage,twenties,male,bermuda
sample-150980.png,an huge hole had been made by the impact of the projectile,twenties,male,canada
sample-134620.png,in alchemy it's called the soul of the world,twenties,male,canada
sample-105575.png,did she discuss it with you,twenties,male,us
